"元号","和暦（年）","西暦（年）","年齢5歳階級","人口（総数）","人口（男）","人口（女）"
"大正",9,1920,"総数",55963053,28044185,27918868
"大正",9,1920,"0〜4歳",7457715,3752627,3705088
"大正",9,1920,"5〜9歳",6856920,3467156,3389764
"大正",9,1920,"10〜14歳",6101567,3089225,3012342
"大正",9,1920,"15〜19歳",5419057,2749022,2670035
"大正",9,1920,"20〜24歳",4609310,2316479,2292831
"大正",9,1920,"25〜29歳",3923949,2008005,1915944
"大正",9,1920,"30〜34歳",3609450,1833443,1776007
"大正",9,1920,"35〜39歳",3410738,1707771,1702967
"大正",9,1920,"40〜44歳",3243764,1640254,1603510
"大正",9,1920,"45〜49歳",2658567,1340404,1318163
"大正",9,1920,"50〜54歳",2234762,1122240,1112522
"大正",9,1920,"55〜59歳",1840093,912085,928008
"大正",9,1920,"60〜64歳",1655805,803033,852772
"大正",9,1920,"65〜69歳",1312537,614479,698058
"大正",9,1920,"70〜74歳",896618,399540,497078
"大正",9,1920,"75〜79歳",482012,198253,283759
"大正",9,1920,"80〜84歳",174183,65473,108710
"大正",9,1920,"85歳以上",76006,24696,51310
"大正",14,1925,"総数",59736822,30013109,29723713
"大正",14,1925,"0〜4歳",8264583,4160479,4104104
"大正",14,1925,"5〜9歳",6924432,3491171,3433261
"大正",14,1925,"10〜14歳",6735030,3410991,3324039
"大正",14,1925,"15〜19歳",5885277,2988370,2896907
"大正",14,1925,"20〜24歳",5060527,2574799,2485728
"大正",14,1925,"25〜29歳",4393471,2256502,2136969
"大正",14,1925,"30〜34歳",3716087,1920177,1795910
"大正",14,1925,"35〜39歳",3449377,1768538,1680839
"大正",14,1925,"40〜44歳",3221765,1624224,1597541
"大正",14,1925,"45〜49歳",3055149,1539488,1515661
"大正",14,1925,"50〜54歳",2450903,1223831,1227072
"大正",14,1925,"55〜59歳",1990817,981235,1009582
"大正",14,1925,"60〜64歳",1568341,754000,814341
"大正",14,1925,"65〜69歳",1294340,601475,692865
"大正",14,1925,"70〜74歳",919180,403555,515625
"大正",14,1925,"75〜79歳",523014,213632,309382
"大正",14,1925,"80〜84歳",215834,79096,136738
"大正",14,1925,"85歳以上",68695,21546,47149
"昭和",5,1930,"総数",64450005,32390155,32059850
"昭和",5,1930,"0〜4歳",9011135,4543442,4467693
"昭和",5,1930,"5〜9歳",7767085,3914786,3852299
"昭和",5,1930,"10〜14歳",6801045,3436560,3364485
"昭和",5,1930,"15〜19歳",6539604,3318663,3220941
"昭和",5,1930,"20〜24歳",5531506,2815406,2716100
"昭和",5,1930,"25〜29歳",4835634,2480757,2354877
"昭和",5,1930,"30〜34歳",4213665,2175040,2038625
"昭和",5,1930,"35〜39歳",3584833,1856905,1727928
"昭和",5,1930,"40〜44歳",3286478,1687934,1598544
"昭和",5,1930,"45〜49歳",3046263,1525157,1521106
"昭和",5,1930,"50〜54歳",2830694,1410576,1420118
"昭和",5,1930,"55〜59歳",2216103,1085866,1130237
"昭和",5,1930,"60〜64歳",1722085,820315,901770
"昭和",5,1930,"65〜69歳",1255830,577193,678637
"昭和",5,1930,"70〜74歳",926601,403984,522617
"昭和",5,1930,"75〜79歳",551718,222451,329267
"昭和",5,1930,"80〜84歳",245461,89183,156278
"昭和",5,1930,"85歳以上",84265,25937,58328
"昭和",10,1935,"総数",69254148,34734133,34520015
