"name"	"object_count"	"empty_count"	"docstring_count"	"total_length"	"min_length"	"max_length"	"average_length"
"fastapi"	"14"	"12"	"2"	"2"	"1"	"1"	"1.0"
"fastapi.applications"	"18"	"14"	"4"	"12"	"1"	"8"	"3.0"
"fastapi.datastructures"	"2"	"0"	"2"	"2"	"1"	"1"	"1.0"
"fastapi.dependencies.models"	"4"	"4"	"0"	"0"	"inf"	"0"	"0"
"fastapi.dependencies.utils"	"41"	"30"	"11"	"46"	"1"	"27"	"4.181818181818182"
"fastapi.encoders"	"4"	"3"	"1"	"3"	"3"	"3"	"3.0"
"fastapi.exception_handlers"	"6"	"3"	"3"	"4"	"1"	"2"	"1.3333333333333333"
"fastapi.exceptions"	"5"	"0"	"5"	"5"	"1"	"1"	"1.0"
"fastapi.openapi.docs"	"4"	"4"	"0"	"0"	"inf"	"0"	"0"
"fastapi.openapi.models"	"48"	"41"	"7"	"53"	"1"	"27"	"7.571428571428571"
"fastapi.openapi.utils"	"21"	"18"	"3"	"60"	"6"	"27"	"20.0"
"fastapi.param_functions"	"9"	"9"	"0"	"0"	"inf"	"0"	"0"
"fastapi.params"	"13"	"2"	"11"	"247"	"1"	"27"	"22.454545454545453"
"fastapi.routing"	"30"	"20"	"10"	"44"	"1"	"27"	"4.4"
"fastapi.security"	"13"	"12"	"1"	"29"	"29"	"29"	"29.0"
"fastapi.security.api_key"	"9"	"6"	"3"	"4"	"1"	"2"	"1.3333333333333333"
"fastapi.security.base"	"2"	"2"	"0"	"0"	"inf"	"0"	"0"
"fastapi.security.http"	"14"	"11"	"3"	"16"	"1"	"13"	"5.333333333333333"
"fastapi.security.oauth2"	"12"	"7"	"5"	"88"	"1"	"29"	"17.6"
"fastapi.security.open_id_connect_url"	"5"	"3"	"2"	"3"	"1"	"2"	"1.5"
"fastapi.security.utils"	"1"	"1"	"0"	"0"	"inf"	"0"	"0"
"fastapi.utils"	"6"	"6"	"0"	"0"	"inf"	"0"	"0"
