"name"	"object_count"	"empty_count"	"docstring_count"	"total_length"	"min_length"	"max_length"	"average_length"
"marshmallow"	"11"	"0"	"11"	"147"	"1"	"56"	"13.363636363636363"
"marshmallow.base"	"2"	"0"	"2"	"2"	"1"	"1"	"1.0"
"marshmallow.class_registry"	"3"	"0"	"3"	"21"	"2"	"15"	"7.0"
"marshmallow.compat"	"11"	"5"	"6"	"49"	"1"	"11"	"8.166666666666666"
"marshmallow.decorators"	"7"	"0"	"7"	"55"	"3"	"14"	"7.857142857142857"
"marshmallow.error_store"	"3"	"2"	"1"	"4"	"4"	"4"	"4.0"
"marshmallow.exceptions"	"5"	"0"	"5"	"16"	"1"	"11"	"3.2"
"marshmallow.fields"	"43"	"2"	"41"	"391"	"1"	"53"	"9.536585365853659"
"marshmallow.orderedset"	"2"	"0"	"2"	"18"	"9"	"9"	"9.0"
"marshmallow.schema"	"24"	"4"	"20"	"235"	"1"	"56"	"11.75"
"marshmallow.utils"	"36"	"9"	"27"	"103"	"1"	"14"	"3.814814814814815"
"marshmallow.validate"	"15"	"0"	"15"	"124"	"4"	"13"	"8.266666666666667"
