"name"	"object_count"	"empty_count"	"docstring_count"	"total_length"	"min_length"	"max_length"	"average_length"
"starlette.applications"	"7"	"5"	"2"	"10"	"2"	"8"	"5.0"
"starlette.authentication"	"14"	"9"	"5"	"8"	"1"	"2"	"1.6"
"starlette.background"	"3"	"3"	"0"	"0"	"inf"	"0"	"0"
"starlette.concurrency"	"4"	"3"	"1"	"1"	"1"	"1"	"1.0"
"starlette.config"	"5"	"4"	"1"	"1"	"1"	"1"	"1.0"
"starlette.convertors"	"5"	"5"	"0"	"0"	"inf"	"0"	"0"
"starlette.datastructures"	"20"	"2"	"18"	"120"	"1"	"23"	"6.666666666666667"
"starlette.endpoints"	"8"	"5"	"3"	"5"	"1"	"2"	"1.6666666666666667"
"starlette.exceptions"	"6"	"4"	"2"	"3"	"1"	"2"	"1.5"
"starlette.formparsers"	"9"	"2"	"7"	"12"	"1"	"4"	"1.7142857142857142"
"starlette.graphql"	"8"	"7"	"1"	"2"	"2"	"2"	"2.0"
"starlette.middleware.authentication"	"8"	"6"	"2"	"3"	"1"	"2"	"1.5"
"starlette.middleware.base"	"4"	"3"	"1"	"2"	"2"	"2"	"2.0"
"starlette.middleware.cors"	"5"	"3"	"2"	"2"	"1"	"1"	"1.0"
"starlette.middleware.errors"	"6"	"4"	"2"	"10"	"2"	"8"	"5.0"
"starlette.middleware.gzip"	"5"	"3"	"2"	"2"	"1"	"1"	"1.0"
"starlette.middleware.httpsredirect"	"3"	"3"	"0"	"0"	"inf"	"0"	"0"
"starlette.middleware.sessions"	"3"	"3"	"0"	"0"	"inf"	"0"	"0"
"starlette.middleware.trustedhost"	"6"	"5"	"1"	"1"	"1"	"1"	"1.0"
"starlette.middleware.wsgi"	"4"	"3"	"1"	"1"	"1"	"1"	"1.0"
"starlette.requests"	"13"	"6"	"7"	"9"	"1"	"2"	"1.2857142857142858"
"starlette.responses"	"16"	"11"	"5"	"54"	"1"	"20"	"10.8"
"starlette.routing"	"26"	"15"	"11"	"23"	"1"	"6"	"2.090909090909091"
"starlette.schemas"	"9"	"7"	"2"	"3"	"1"	"2"	"1.5"
"starlette.staticfiles"	"10"	"7"	"3"	"22"	"1"	"20"	"7.333333333333333"
"starlette.templating"	"4"	"3"	"1"	"3"	"3"	"3"	"3.0"
"starlette.testclient"	"13"	"3"	"10"	"90"	"1"	"30"	"9.0"
"starlette.websockets"	"5"	"1"	"4"	"6"	"1"	"2"	"1.5"
