"name"	"object_count"	"empty_count"	"docstring_count"	"total_length"	"min_length"	"max_length"	"average_length"
"uvicorn"	"3"	"3"	"0"	"0"	"inf"	"0"	"0"
"uvicorn.config"	"10"	"9"	"1"	"1"	"1"	"1"	"1.0"
"uvicorn.importer"	"2"	"1"	"1"	"1"	"1"	"1"	"1.0"
"uvicorn.lifespan.off"	"1"	"1"	"0"	"0"	"inf"	"0"	"0"
"uvicorn.lifespan.on"	"1"	"1"	"0"	"0"	"inf"	"0"	"0"
"uvicorn.loops.asyncio"	"1"	"1"	"0"	"0"	"inf"	"0"	"0"
"uvicorn.loops.auto"	"1"	"1"	"0"	"0"	"inf"	"0"	"0"
"uvicorn.loops.uvloop"	"1"	"1"	"0"	"0"	"inf"	"0"	"0"
"uvicorn.main"	"8"	"6"	"2"	"15"	"1"	"14"	"7.5"
"uvicorn.middleware.asgi2"	"1"	"1"	"0"	"0"	"inf"	"0"	"0"
"uvicorn.middleware.debug"	"4"	"4"	"0"	"0"	"inf"	"0"	"0"
"uvicorn.middleware.message_logger"	"2"	"1"	"1"	"2"	"2"	"2"	"2.0"
"uvicorn.middleware.proxy_headers"	"1"	"1"	"0"	"0"	"inf"	"0"	"0"
"uvicorn.middleware.wsgi"	"3"	"2"	"1"	"1"	"1"	"1"	"1.0"
"uvicorn.protocols.http.auto"	"2"	"0"	"2"	"46"	"23"	"23"	"23.0"
"uvicorn.protocols.http.h11_impl"	"9"	"7"	"2"	"31"	"8"	"23"	"15.5"
"uvicorn.protocols.http.httptools_impl"	"8"	"7"	"1"	"23"	"23"	"23"	"23.0"
"uvicorn.protocols.utils"	"3"	"3"	"0"	"0"	"inf"	"0"	"0"
"uvicorn.protocols.websockets.auto"	"2"	"0"	"2"	"14"	"7"	"7"	"7.0"
"uvicorn.protocols.websockets.websockets_impl"	"6"	"4"	"2"	"15"	"7"	"8"	"7.5"
"uvicorn.protocols.websockets.wsproto_impl"	"6"	"4"	"2"	"15"	"7"	"8"	"7.5"
"uvicorn.supervisors"	"2"	"2"	"0"	"0"	"inf"	"0"	"0"
"uvicorn.supervisors.multiprocess"	"1"	"1"	"0"	"0"	"inf"	"0"	"0"
"uvicorn.supervisors.statreload"	"2"	"1"	"1"	"7"	"7"	"7"	"7.0"
"uvicorn.workers"	"5"	"3"	"2"	"4"	"2"	"2"	"2.0"
