package,download_last_month
slack-webhook-cli,53994
slackbot,18247
slack,9564
pytest-slack,9475
slack-logger,5790
dagster-slack,3088
slack-webhook,2077
celery-slack,1833
slack-cli,1646
fabric-slack-tools,1590
slack-entities,842
slack-client,825
nftl-slack-tools,689
flask-slack,666
slack-export-viewer,518
slack-cleaner,507
nameko-slack,489
taiga-contrib-slack,473
oncall-slackbot,372
slack-notifications,318
celery-slack-webhooks,314
slack-machine,282
slackbot-wems,259
luigi-slack,256
jenkins-jobs-slack,247
dagster-slack-nightly,240
phial-slack,232
sumologic-slack,216
flask-slack-events,206
peachapisec-slack,191
sentry-slack,183
chaostoolkit-slack,171
slack-sansio,170
jupyter-slack,164
gendobot,162
cabot-alert-slack,153
slack-cleaner2,140
axonbot-slack,137
vztcdpchaos-slack,108
bits-slack,103
carbon-slack,103
glados,101
slack-progress,91
slack-signature-verifier,90
slack-releaser,88
slack-backup,86
slack-wordcloud,85
slack-rtm-bot,85
flask-slack-template,83
slack-cli-webhook,82
slack-alerts,81
bb-slack-notify,78
slackbottools,72
slack-invoker,70
slack-tunes,69
jhulib-slack,68
devpi-slack,67
alerta-slack,66
slack-actions,64
codethecity-slackbot,63
slack-tangerine,62
slackbot-queue,61
slack-logging,60
icinga-slack-webhook,60
ltz-slack,59
fastai-slack,58
octoprint-slack,57
slack-proxy-server,57
logging-slack,56
slackbot-tipy,56
simple-slackbot,55
askbot-slack,54
slack-bot,53
parsely-slackbot,53
fnexchange-slack,52
slack-log-utils,52
py-slack-term,51
edi-slack,50
buildbot-slack,49
slack-bot-wrapper,49
slackbotjira,49
livebridge-slack,48
slack-api-utils,48
slack-python-logging,48
gcdt-slack-integration,48
smashbot,48
slack-wrapper,47
slack-purger,47
slackbot-workout,47
blockhub-slackbot,47
slack-notify,45
tyranobot,45
pybot-adapter-slack,44
slack-pdb,43
slack-backup-python,43
slack-asyncio,42
chainer-slack-report,41
security-slackbot,41
scrapy-slackbot,41
slack-channeler,39
slackbot-atlassian,38
slack-progressing,37
frasco-slack,37
tap-slack,37
channels-slack-notifications,37
middleware-slack,36
slack-janitor-tool,34
audio-slackbot,33
slack-pybot,33
python-slack-print,32
slack-wipe,31
slack-bots,29
peppyhare-slack-100bot,28
slack-archiver,26
slack-votebot,25
countdown-slackbot,25
slack-cache,24
slack-emoji-search,24
leonardo-slack,23
pyslackbot,23
slackbot-eliza,22
